,class,x,y,w,h,frameNo
10459,5,0.645833,0.521094,0.708333,0.140625,31194
10317,5,0.633333,0.516406,0.733333,0.139062,31195
11076,5,0.624306,0.516797,0.751389,0.135156,31196
11257,5,0.615278,0.517969,0.769444,0.1375,31197
1285,5,0.606944,0.516797,0.786111,0.141406,31198
1116,5,0.586111,0.514844,0.786111,0.134375,31199
2203,5,0.567361,0.515234,0.781944,0.138281,31200
1794,5,0.552083,0.5125,0.773611,0.1375,31201
2587,5,0.527083,0.513281,0.779167,0.13125,31202
3008,5,0.504167,0.514844,0.766667,0.13125,31203
978,5,0.484028,0.512109,0.756944,0.136719,31204
1426,5,0.463194,0.512109,0.768056,0.128906,31205
622,5,0.439583,0.511328,0.793056,0.130469,31206
166,5,0.40625,0.510156,0.784722,0.135937,31207
10134,5,0.393056,0.508203,0.761111,0.127344,31208
10629,5,0.382639,0.510156,0.765278,0.126563,31209
953,5,0.373611,0.507812,0.747222,0.129688,31210
1439,5,0.358333,0.507031,0.716667,0.128125,31211
617,5,0.346528,0.510547,0.690278,0.122656,31212
186,5,0.3375,0.507812,0.675,0.123438,31213
2229,5,0.328472,0.507031,0.654167,0.123438,31214
1781,5,0.324306,0.508594,0.648611,0.128125,31215
2592,5,0.311111,0.506641,0.619444,0.128906,31216
2992,5,0.297917,0.50625,0.595833,0.129688,31217
9795,5,0.289583,0.507031,0.570833,0.125,31218
9379,5,0.280556,0.505469,0.55,0.126563,31219
10172,5,0.272222,0.505078,0.544444,0.127344,31220
10580,5,0.265278,0.506641,0.527778,0.125781,31221
11400,5,0.254861,0.506641,0.509722,0.122656,31222
10945,5,0.247917,0.502734,0.495833,0.119531,31223
9827,5,0.2375,0.505078,0.475,0.122656,31224
9348,5,0.229167,0.505078,0.458333,0.122656,31225
8564,5,0.222222,0.501953,0.444444,0.124219,31226
9034,5,0.213889,0.500391,0.427778,0.121094,31227
2246,5,0.202778,0.505469,0.405556,0.120312,31228
1761,5,0.192361,0.505078,0.384722,0.122656,31229
9830,5,0.184028,0.5,0.368056,0.120312,31230
9330,5,0.179167,0.505078,0.358333,0.119531,31231
8588,5,0.172222,0.502734,0.338889,0.121094,31232
9025,5,0.163194,0.499219,0.320833,0.11875,31233
10167,5,0.15,0.503516,0.294444,0.116406,31234
10599,5,0.140972,0.503125,0.279167,0.117188,31235
11375,5,0.134722,0.497266,0.269444,0.116406,31236
10955,5,0.124306,0.501172,0.245833,0.114844,31237
999,5,0.116667,0.502344,0.233333,0.1125,31238
1406,5,0.105556,0.496875,0.211111,0.114063,31239
7931,5,0.0993056,0.501172,0.198611,0.113281,31240
8253,5,0.0916667,0.499609,0.180556,0.110156,31241
7591,5,0.0819444,0.495313,0.161111,0.110937,31242
7291,5,0.075,0.496875,0.147222,0.109375,31243
6301,5,0.0569444,0.5,0.108333,0.109375,31244
5926,5,0.05,0.495313,0.0944444,0.109375,31245
