,class,x,y,w,h,frameNo
2907,5,0.770139,0.448828,0.459722,0.133594,25511
4100,5,0.75625,0.449219,0.4875,0.13125,25513
5314,5,0.747222,0.446094,0.505556,0.132812,25515
4696,5,0.740278,0.441406,0.519444,0.148438,25516
4164,5,0.734722,0.450391,0.530556,0.136719,25517
5398,5,0.723611,0.441797,0.544444,0.138281,25518
5935,5,0.720833,0.445312,0.555556,0.135937,25519
7770,5,0.715278,0.443359,0.566667,0.142969,25520
7226,5,0.702778,0.449609,0.586111,0.136719,25521
6611,5,0.690278,0.439844,0.611111,0.146875,25522
7152,5,0.689583,0.449219,0.618056,0.132812,25523
5371,5,0.684722,0.439844,0.630556,0.15,25524
5960,5,0.685417,0.447656,0.629167,0.128125,25525
6586,5,0.664583,0.441406,0.670833,0.139062,25526
5986,5,0.663194,0.448047,0.673611,0.133594,25527
4746,5,0.65,0.442187,0.688889,0.139062,25528
5340,5,0.650694,0.448828,0.690278,0.130469,25529
5369,5,0.634028,0.447656,0.681944,0.13125,25530
5975,5,0.620139,0.44375,0.681944,0.129688,25531
6566,5,0.616667,0.439844,0.666667,0.132812,25532
5993,5,0.603472,0.447266,0.681944,0.133594,25533
7772,5,0.585417,0.438672,0.679167,0.132031,25534
7213,5,0.572222,0.44375,0.677778,0.129688,25535
6630,5,0.551389,0.44375,0.641667,0.126563,25536
7144,5,0.546528,0.442187,0.656944,0.132812,25537
3466,5,0.521528,0.44375,0.640278,0.128125,25538
2938,5,0.524306,0.44375,0.648611,0.132812,25539
9931,5,0.502778,0.441406,0.616667,0.126563,25540
9267,5,0.495833,0.441406,0.622222,0.128125,25541
10013,5,0.484722,0.445703,0.597222,0.121094,25542
10643,5,0.475,0.444922,0.583333,0.121094,25543
8494,5,0.454167,0.441797,0.616667,0.125781,25544
9224,5,0.455556,0.445703,0.588889,0.124219,25545
8475,5,0.439583,0.446094,0.5875,0.121875,25546
7823,5,0.465278,0.439453,0.533333,0.130469,25547
1487,5,0.454167,0.444141,0.483333,0.119531,25548
2165,5,0.434722,0.444531,0.505556,0.123438,25549
8508,5,0.438194,0.444141,0.490278,0.124219,25550
9221,5,0.435417,0.449609,0.4875,0.122656,25551
8484,5,0.429167,0.436719,0.452778,0.129688,25552
7806,5,0.396528,0.447266,0.481944,0.117969,25553
9269,5,0.379861,0.442187,0.429167,0.117188,25555
10004,5,0.359028,0.447266,0.454167,0.119531,25556
10657,5,0.340972,0.439844,0.479167,0.123438,25557
1442,5,0.324306,0.444531,0.470833,0.115625,25558
760,5,0.320139,0.440234,0.459722,0.121094,25559
1505,5,0.342361,0.444141,0.379167,0.114844,25560
2854,5,0.338194,0.442578,0.345833,0.116406,25562
2158,5,0.379861,0.439844,0.245833,0.078125,33303
19,5,0.388889,0.435156,0.258333,0.078125,33304
1469,5,0.415972,0.440625,0.265278,0.08125,33306
9984,5,0.43125,0.437891,0.290278,0.0820312,33308
1,5,0.461111,0.439063,0.305556,0.0828125,33310
752,5,0.521528,0.435547,0.329167,0.0820312,33313
8458,5,0.585417,0.441406,0.301389,0.08125,33318
10011,5,0.621528,0.440234,0.3125,0.0835937,33320
8486,5,0.810417,0.435156,0.345833,0.09375,33330
8507,5,0.8375,0.439453,0.316667,0.0929687,33332
9223,5,0.851389,0.441406,0.297222,0.09375,33333
7719,5,0.39375,0.426953,0.345833,0.0992187,37681
6664,5,0.426389,0.426172,0.327778,0.0992187,37683
6033,5,0.429861,0.426562,0.384722,0.103125,37686
5300,5,0.463889,0.425,0.380556,0.103125,37688
4800,5,0.470833,0.426172,0.391667,0.105469,37689
5406,5,0.483333,0.428516,0.391667,0.105469,37691
6535,5,0.494444,0.430469,0.402778,0.104687,37693
7736,5,0.470139,0.429688,0.501389,0.10625,37695
6668,5,0.481944,0.426562,0.522222,0.103125,37697
3418,5,0.515278,0.426562,0.505556,0.104687,37699
4378,5,0.536806,0.426953,0.540278,0.107031,37701
3883,5,0.576389,0.428906,0.572222,0.109375,37705
3269,5,0.567361,0.428125,0.5875,0.10625,37706
3124,5,0.584722,0.424609,0.586111,0.111719,37707
6815,5,0.6,0.428906,0.577778,0.10625,37708
6973,5,0.615278,0.424219,0.608333,0.1125,37709
3744,5,0.627083,0.423828,0.593056,0.113281,37710
3884,5,0.643056,0.425391,0.588889,0.110156,37711
3261,5,0.652083,0.427344,0.595833,0.1125,37712
3137,5,0.652083,0.455078,0.384722,0.0507812,37713
3138,5,0.659722,0.433203,0.588889,0.108594,37713
4487,5,0.676389,0.43125,0.602778,0.110937,37714
4376,5,0.688194,0.430859,0.598611,0.110156,37715
4998,5,0.701389,0.426562,0.586111,0.1125,37716
5083,5,0.7125,0.428125,0.563889,0.110937,37717
6333,5,0.720139,0.420312,0.556944,0.117188,37718
6245,5,0.721528,0.428125,0.556944,0.114063,37719
6843,5,0.724306,0.425,0.551389,0.11875,37720
6929,5,0.734028,0.425,0.531944,0.120312,37721
6359,5,0.751389,0.429688,0.497222,0.109375,37724
6221,5,0.755556,0.427344,0.488889,0.1125,37725
5592,5,0.761111,0.436328,0.477778,0.110156,37726
5749,5,0.766667,0.432031,0.466667,0.114063,37727
4508,5,0.774306,0.432813,0.451389,0.110937,37728
4354,5,0.781944,0.433203,0.430556,0.113281,37729
6364,5,0.786111,0.424609,0.422222,0.113281,37730
6204,5,0.788889,0.426562,0.416667,0.115625,37731
5747,5,0.802778,0.432813,0.386111,0.114063,37733
6950,5,0.813889,0.43125,0.363889,0.11875,37735
7549,5,0.822222,0.432031,0.347222,0.110937,37736
3772,5,0.8375,0.432422,0.319444,0.110156,37738
3863,5,0.841667,0.434375,0.311111,0.114063,37739
10391,5,0.857639,0.43125,0.276389,0.1125,37741
9668,5,0.860417,0.437109,0.273611,0.110156,37742
9539,5,0.868056,0.43125,0.258333,0.1125,37743
8254,5,0.877778,0.435156,0.244444,0.109375,37744
8049,5,0.884722,0.435937,0.227778,0.107813,37745
8771,5,0.897222,0.433594,0.205556,0.107813,37746
8967,5,0.904167,0.428516,0.191667,0.114844,37747
2624,5,0.909722,0.430078,0.177778,0.105469,37748
8057,5,0.934722,0.439453,0.127778,0.107031,37751
8945,5,0.40625,0.442187,0.226389,0.0671875,40281
1198,5,0.495139,0.442969,0.245833,0.065625,40288
10233,5,0.5625,0.447266,0.236111,0.0648438,40292
8815,5,0.572222,0.444141,0.252778,0.0617188,40294
10364,5,0.395833,0.426953,0.369444,0.102344,40536
10283,5,0.394444,0.426562,0.397222,0.103125,40537
1060,5,0.388194,0.425,0.434722,0.104687,40538
7534,5,0.454167,0.425,0.402778,0.103125,40541
6927,5,0.454167,0.426562,0.461111,0.104687,40542
6858,5,0.470833,0.424609,0.388889,0.110156,40543
5685,5,0.453472,0.421875,0.4625,0.104687,40544
5669,5,0.450694,0.425,0.493056,0.10625,40545
6264,5,0.458333,0.421875,0.527778,0.109375,40546
6297,5,0.470139,0.419531,0.531944,0.110937,40547
5055,5,0.502778,0.428125,0.475,0.107813,40548
5687,5,0.508333,0.428906,0.533333,0.10625,40550
5663,5,0.525,0.425,0.55,0.107813,40551
6282,5,0.547222,0.427344,0.533333,0.103125,40552
6286,5,0.554861,0.424609,0.540278,0.107031,40553
7543,5,0.561111,0.428516,0.552778,0.108594,40555
6909,5,0.581944,0.422266,0.6,0.113281,40556
6871,5,0.575694,0.429688,0.559722,0.109375,40557
3227,5,0.623611,0.425781,0.588889,0.1125,40559
5018,5,0.653472,0.427734,0.6125,0.113281,40561
4398,5,0.669444,0.423438,0.638889,0.123438,40562
4469,5,0.689583,0.429297,0.615278,0.111719,40563
3201,5,0.698611,0.426172,0.591667,0.116406,40564
3827,5,0.720833,0.433203,0.552778,0.113281,40566
3798,5,0.716667,0.425391,0.566667,0.122656,40567
7489,5,0.728472,0.433203,0.543056,0.114844,40568
3180,5,0.742361,0.433984,0.5125,0.110156,40570
3815,5,0.754861,0.429688,0.481944,0.110937,40573
5080,5,0.768056,0.425,0.463889,0.117188,40574
5009,5,0.771528,0.423828,0.445833,0.122656,40575
