,class,x,y,w,h,frameNo
2086,5,0.665278,0.353125,0.669444,0.159375,10390
2045,5,0.656944,0.353125,0.675,0.159375,10391
2254,5,0.640278,0.353125,0.680556,0.159375,10392
2299,5,0.622222,0.352344,0.7,0.157813,10393
1828,5,0.609722,0.351562,0.686111,0.15625,10394
1892,5,0.6,0.352344,0.677778,0.154687,10395
1689,5,0.591667,0.352344,0.677778,0.154687,10396
1622,5,0.580556,0.352344,0.677778,0.154687,10397
1216,5,0.566667,0.351562,0.677778,0.153125,10398
1272,5,0.556944,0.351562,0.675,0.153125,10399
1287,5,0.547222,0.350781,0.672222,0.151562,10400
1207,5,0.540278,0.350781,0.669444,0.151562,10401
1412,5,0.527778,0.35,0.655556,0.153125,10402
1479,5,0.519444,0.351562,0.65,0.146875,10403
990,5,0.508333,0.351562,0.65,0.146875,10404
1099,5,0.504167,0.35,0.641667,0.146875,10405
893,5,0.495833,0.35,0.647222,0.14375,10406
798,5,0.488889,0.35,0.633333,0.14375,10407
2006,5,0.477778,0.350781,0.65,0.145313,10408
2122,5,0.465278,0.350781,0.636111,0.145313,10409
999,5,0.458333,0.350781,0.627778,0.145313,10410
1096,5,0.448611,0.35,0.619444,0.14375,10411
899,5,0.440278,0.35,0.619444,0.14375,10412
785,5,0.445833,0.35,0.586111,0.14375,10413
1278,5,0.443056,0.35,0.569444,0.14375,10414
1210,5,0.434722,0.350781,0.591667,0.145313,10415
1406,5,0.4375,0.35,0.569444,0.14375,10416
1492,5,0.444444,0.347656,0.544444,0.142188,10417
1907,5,0.443056,0.349219,0.525,0.142188,10418
1816,5,0.440278,0.347656,0.508333,0.151562,10419
2013,5,0.4375,0.348437,0.497222,0.15,10420
2116,5,0.395833,0.346875,0.563889,0.14375,10421
2316,5,0.384722,0.349219,0.569444,0.142188,10422
2238,5,0.375,0.347656,0.561111,0.142188,10423
1922,5,0.390278,0.346094,0.519444,0.142188,10424
1798,5,0.420833,0.347656,0.452778,0.148438,10425
1602,5,0.406944,0.346875,0.447222,0.14375,10426
1707,5,0.404167,0.346875,0.441667,0.14375,10427
1291,5,0.402778,0.347656,0.438889,0.145313,10428
1199,5,0.394444,0.346875,0.427778,0.14375,10429
1916,5,0.393056,0.346094,0.419444,0.145313,10430
1809,5,0.3875,0.346094,0.413889,0.142188,10431
1594,5,0.373611,0.346875,0.419444,0.14375,10432
1711,5,0.368056,0.346094,0.419444,0.145313,10433
2020,5,0.372222,0.346094,0.405556,0.145313,10434
2104,5,0.354167,0.346094,0.430556,0.145313,10435
2324,5,0.344444,0.346094,0.444444,0.145313,10436
2234,5,0.373611,0.346875,0.375,0.15,10437
1004,5,0.366667,0.345313,0.377778,0.14375,10438
1087,5,0.363889,0.345313,0.372222,0.14375,10439
3055,5,0.365278,0.345313,0.358333,0.14375,10440
3115,5,0.356944,0.345313,0.358333,0.14375,10441
2921,5,0.352778,0.34375,0.355556,0.14375,10442
2840,5,0.352778,0.344531,0.344444,0.142188,10443
2520,5,0.344444,0.344531,0.35,0.142188,10444
2441,5,0.338889,0.34375,0.35,0.140625,10445
2629,5,0.330556,0.34375,0.344444,0.140625,10446
2730,5,0.327778,0.342969,0.338889,0.142188,10447
692,5,0.327778,0.34375,0.327778,0.140625,10448
610,5,0.325,0.34375,0.327778,0.140625,10449
2529,5,0.318056,0.34375,0.341667,0.140625,10450
2438,5,0.315278,0.34375,0.336111,0.140625,10451
2633,5,0.311111,0.34375,0.338889,0.140625,10452
2721,5,0.308333,0.342969,0.333333,0.142188,10453
3046,5,0.306944,0.34375,0.325,0.140625,10454
3118,5,0.311111,0.342187,0.305556,0.140625,10455
2918,5,0.304167,0.342187,0.308333,0.140625,10456
2848,5,0.294444,0.342969,0.322222,0.142188,10457
58,5,0.293056,0.342969,0.313889,0.142188,10458
113,5,0.3,0.34375,0.294444,0.140625,10459
683,5,0.3,0.342969,0.283333,0.139062,10460
626,5,0.3,0.342187,0.272222,0.140625,10461
436,5,0.301389,0.342969,0.263889,0.142188,10462
504,5,0.276389,0.342969,0.297222,0.142188,10463
50,5,0.277778,0.342969,0.294444,0.142188,10464
122,5,0.2625,0.342187,0.313889,0.140625,10465
321,5,0.263889,0.342969,0.305556,0.142188,10466
234,5,0.251389,0.342969,0.319444,0.139062,10467
3040,5,0.244444,0.34375,0.327778,0.140625,10468
3126,5,0.248611,0.34375,0.313889,0.140625,10469
47,5,0.2375,0.34375,0.330556,0.140625,10470
129,5,0.231944,0.342969,0.336111,0.139062,10471
310,5,0.230556,0.34375,0.333333,0.1375,10472
238,5,0.259722,0.342969,0.263889,0.139062,10473
685,5,0.276389,0.342187,0.230556,0.140625,10474
619,5,0.275,0.342969,0.222222,0.139062,10475
